experience_level,work_year,employment_type,company_size,job_title,company_location,salary_in_usd
3,2023,3,1,47,70,0.3773433917476645
3,2023,3,1,47,70,0.28518122229515275
3,2023,3,1,25,70,0.45612855948281295
3,2023,3,1,25,70,0.2773137200248164
3,2023,3,1,4,70,0.3926737818858628
3,2023,3,1,4,70,0.31184081570263544
3,2023,3,1,33,70,0.36498017389427884
3,2023,3,1,33,70,0.22786084861127348
3,2023,3,1,47,70,0.607299243820639
3,2023,3,1,47,70,0.40094589855867363
2,2023,3,1,33,70,0.3247435194259871
2,2023,3,1,33,70,0.21774548854941242
1,2023,3,1,47,70,0.31440337358497356
1,2023,3,1,47,70,0.21324977296636308
3,2023,3,1,25,70,0.41555697420358406
3,2023,3,1,25,70,0.2020104840087397
3,2023,3,1,25,70,0.3337349505920858
3,2023,3,1,25,70,0.22853520594873086
2,2023,3,1,47,36,0.20555760360376563
2,2023,3,1,47,36,0.1693738367335929
2,2023,3,1,25,70,0.27618979112905406
2,2023,3,1,25,70,0.17953190609349293
2,2023,3,1,33,70,0.32789052033412164
2,2023,3,1,33,70,0.30316408462735017
3,2023,3,1,47,70,0.607299243820639
3,2023,3,1,47,70,0.40094589855867363
3,2023,3,1,74,70,0.48299270794932436
3,2023,3,1,74,70,0.37059981837309053
3,2023,3,1,25,70,0.2919247956697268
3,2023,3,1,25,70,0.2256129908197488
3,2023,3,1,25,70,0.21324977296636308
3,2023,3,1,25,70,0.16829261713586952
0,2023,3,0,9,29,0.004198998354568096
0,2023,3,1,7,20,0.08494879379950908
3,2023,3,1,33,12,0.3481212404578437
3,2023,3,1,33,12,0.31440337358497356
2,2023,3,1,25,70,0.3346340937086957
2,2023,3,1,25,70,0.3099076580019242
2,2023,3,1,47,28,0.1660222807664296
2,2023,3,1,47,28,0.10319240763552336
0,2023,3,1,47,70,0.41555697420358406
0,2023,3,1,47,70,0.25820692879685664
2,2023,3,1,47,28,0.17968026470773354
2,2023,3,1,47,28,0.10319240763552336
2,2023,3,1,47,28,0.23431444833074083
2,2023,3,1,47,28,0.15236429682512567
3,2023,3,1,33,70,0.32564266254259694
3,2023,3,1,33,70,0.23797620867313451
1,2023,3,1,33,70,0.5841463085679348
1,2023,3,1,33,70,0.5167105748221945
0,2023,3,2,47,14,0.2606638373629931
